,falling,area,bb_ratio,hu1,hu2,hu3,hu4,hu5,hu6,hu7,variance
51,1,1344,2.33333333333,0.00144558208165,9.05008223099e-07,1.39687684244e-11,1.12495665825e-11,1.38369768359e-22,7.91525652709e-15,-2.72145898708e-23,13474.1584622
52,1,2652,1.01960784314,0.000739267478098,6.25444679785e-10,8.75456924455e-14,2.63797535674e-13,1.87099204551e-26,3.4046288922e-18,-3.54549571671e-26,4782.5443787
53,1,1960,1.6,0.00113066995363,2.59970830891e-07,6.50155358041e-12,1.53132841867e-11,1.45271421259e-22,5.10836794259e-15,-4.73575248717e-23,12843.8424029
54,1,2842,1.18367346939,0.000866405739189,1.74870213935e-08,2.78371789842e-13,3.85154350066e-13,1.31863335234e-26,-2.70006727472e-17,1.25423175808e-25,8805.80251751
55,1,1160,2.9,0.00170442080115,1.84717929892e-06,1.58537227116e-10,1.31208501837e-10,1.8570648655e-20,1.44553039519e-13,-3.63890343065e-21,13831.5365636
56,1,1450,2.32,0.00140707782763,8.8794495577e-07,9.99118313152e-12,2.52862462931e-13,8.35587855491e-26,2.13686689398e-16,3.93133799772e-25,13245.6466231
57,1,1770,1.96666666667,0.00133245918745,6.12278416051e-07,8.01985979287e-13,4.66665394335e-12,9.01791708326e-24,-2.15762986409e-15,-4.2666481918e-25,13475.9222206
58,0,1225,1.0,0.00145029104559,3.28137075767e-08,1.7676544473e-11,1.0455367767e-10,-1.65082865751e-21,-9.92642762681e-16,4.18063859272e-21,16064.6253061
59,0,1716,1.12820512821,0.00150857639632,9.77365278629e-09,8.02446855552e-12,1.17038907908e-11,1.12815541457e-22,-1.09289380514e-15,-1.17291419948e-23,16056.9565596
60,0,1302,1.35483870968,0.00176467048969,4.95125018297e-07,3.25648929198e-10,1.52720454543e-10,-2.12833045532e-20,-7.94762002451e-14,2.65890261868e-20,16216.9711875
61,0,1248,1.21875,0.0013134745057,9.28785459504e-08,1.00685180799e-10,3.13723225562e-11,-7.9030876781e-22,3.55923312535e-15,-1.57616736954e-21,15863.4290345
62,0,1080,1.2,0.00238112790775,8.79192073453e-08,2.32407293731e-09,7.56365933782e-10,9.68857981383e-19,1.91873846089e-13,-2.58768967823e-19,14285.8765432
63,0,1440,1.11111111111,0.00130474745987,3.69253540543e-08,2.01629706512e-11,4.55340070519e-11,-4.77392318139e-22,4.7149439783e-15,-1.29446402412e-21,15701.5493707
64,0,1044,1.24137931034,0.00128008028508,2.4684525628e-07,2.28654449046e-10,6.87378543497e-11,8.09480819358e-21,2.64653218131e-14,2.95571297988e-21,16011.8848263
65,0,1702,1.24324324324,0.00155972904667,2.8324827353e-07,3.03449344564e-10,9.4061819363e-11,-5.72083508401e-21,5.30217603004e-15,-1.48259842242e-20,16220.3345566
66,0,1260,1.02857142857,0.00172481018821,8.18615673722e-08,1.62781155383e-10,3.64047174143e-10,-5.6554718572e-20,-5.17022962004e-14,-6.82298662788e-20,15778.5153061
